collected_utc,query,format,lot_size_bucket,price_per_coin_usd,note
2026-09-18,1942 P war nickel,single_fixed,1,3.25,raw circulated
2026-09-18,1942 P war nickel,single_fixed,1,3.78,raw circulated
2026-09-18,1942 P war nickel,single_fixed,1,4.00,raw circulated
2026-09-18,1942 P war nickel,single_fixed,1,4.45,random date circulated
2026-09-18,1942 P war nickel,single_fixed,1,4.75,random date circulated
2026-09-18,1942 P war nickel,single_fixed,1,4.75,raw circulated
2026-09-18,1942 P war nickel,single_fixed,1,4.94,raw circulated
2026-09-18,1942 P war nickel,single_fixed,1,5.94,raw circulated
2026-09-18,1942 P war nickel,single_fixed,1,169.90,1942-P PROOF 27600 struck - outlier not in median
2026-09-18,war nickels lot 35% silver,lot_fixed,3-6,3.60,
2026-09-18,war nickels lot 35% silver,lot_fixed,3-6,3.60,
2026-09-18,war nickels lot 35% silver,lot_fixed,3-6,3.70,
2026-09-18,war nickels lot 35% silver,lot_fixed,3-6,4.65,
2026-09-18,war nickels lot 35% silver,lot_fixed,3-6,5.50,
2026-09-18,war nickels lot 35% silver,lot_fixed,10-100,1.78,
2026-09-18,war nickels lot 35% silver,lot_fixed,10-100,3.00,
2026-09-18,war nickels lot 35% silver,lot_fixed,10-100,3.03,
2026-09-18,war nickels lot 35% silver,lot_fixed,10-100,3.06,
2026-09-18,war nickels lot 35% silver,lot_fixed,10-100,3.25,
2026-09-18,war nickels lot 35% silver,lot_fixed,10-100,3.37,
2026-09-18,war nickels lot 35% silver,lot_auction,10-100,2.42,
2026-09-18,war nickels lot 35% silver,lot_auction,10-100,2.80,
2026-09-18,war nickels lot 35% silver,lot_auction,10-100,2.85,
2026-09-18,war nickels lot 35% silver,lot_auction,10-100,2.90,
2026-09-18,war nickels lot 35% silver,lot_auction,10-100,3.00,
2026-09-18,war nickels lot 35% silver,lot_auction,10-100,3.00,
